sentiment,raw text
Negative,"WASHINGTON (AP) -- The gap between the nation's richest and poorest cities widened in 1987 as the posh Connecticut suburbs of New York stayed atop the per capita personal income list while Texas towns along the Mexican border remained last, the government reported yesterday.</br></br>In a report on 1987 personal income in the nation's 318 metropolitan regions, first place belonged to the Bridgeport-Stamford-Norwalk-Danbury area of Connecticut, with per capita income of $26,316, the Commerce Department said.</br></br>Bringing up the rear was the McAllen-Edinburg-Mission area of Texas, with per capita income of $7,001.</br></br>The first and last areas were the same as in 1986, but the gap between them grew as the 9.1% rate of per capita income growth in the Bridgeport area more than doubled the 4.2% pace in the McAllen region. The per capita income gap between the two regions was $19,315 in 1987, up from $17,412 a year earlier.</br></br>For the nation as a whole, per capita income rose 6% in 1987 to $15,484, according to the report by the department's Bureau of Economic Analysis."
Negative,"Uncertainty about interest rates and economic growth, ahead of a long holiday weekend, pushed stocks to some of their sharpest declines this year.</br></br>The Dow Jones Industrial Average fell 235.23, or 2.20%, to 10466.93, the year's heaviest drop in point terms and thirdheaviest in percentage terms. Leading the way down were the old-style manufacturing stocks that had soared in April, as well as the banking stocks.</br></br>Even considering that point moves in the industrial average aren't as significant, in percentage terms, as when the index was at lower levels in past years, this has been a volatile week. There have been three drops of more than 100 points, including yesterday, and one gain (Wednesday's 171.07-point rally).</br></br>Some investors were locking in profits yesterday by selling winners ahead of what is expected to be quiet pre-MemorialDay trading today. International Business Machines, which had soared on Wednesday in advance of a stock split, declined. But Nasdaq-listed semiconductor stocks such as Intel posted gains, and the technology-heavy Nasdaq Composite Index fell just 8.03, or 0.33%, to 2419.15. News that the Nasdaq Stock Market plans to extend trading into the evening hours helped buoy that index.</br></br>Investors continued to worry about last week's announcement from the Federal Reserve that it is leaning toward raising interest rates. A variety of analysts warned that a Fed move could come as soon as its next meeting, scheduled for June 29 and 30. Bonds fell on those concerns and on reports that foreign central banks were selling U.S. bonds. The bellwether 30-year Treasury bond declined 20/32, or $6.25 for every $1,000 in bond face value. That pushed the yield, which moves inversely to bond prices, up to 5.842%."
Positive,"STOCKS SURGED world-wide and the dollar jumped against the mark after Germany cut key interest rates, raising hopes of lower U.S. rates and a boost to the world's economies. But the German cuts may be too small to do much good, and Fed officials said they don't plan any quick action on rates. The Dow Jones industrials gained 70.52 points, or 2.1%, to 3376.22, and the S&P 500 rose 1.4% to a record. Share prices soared 4.4% in Frankfurt, 4% in Paris and 2.2% in London.</br></br>First Chicago plans to try to sell $2.1 billion in foreclosed property and problem real estate loans, and is taking a related $625 million write-down. The move could lead other banks to follow suit, depressing real estate prices. First Chicago stock rose $2.375 to $33.</br></br>---</br></br>Mellon Bank agreed to buy money management firm Boston Co. from American Express's Shearson unit for $1.45 billion in cash and stock. The sale will bolster Shearson financially and let American Express concentrate on its flagship card business. Mellon outbid PNC, another Pittsburgh bank.</br></br>---"
Positive,"NEW YORK -- ""Up for the year to date"" is a phrase that nobody in the stock market had heard for a long time. Until Thursday.</br></br>U.S. stocks surged, and the Nasdaq Composite Index burst into positive territory for 2009 as traders ignored signs of rising unemployment and positioned for a recovery, buying economically sensitive stocks such as Research In Motion, Best Buy and FedEx.</br></br>General Motors was the strongest stock in the Dow Jones Industrial Average as the U.S. government looked likely to give the auto giant another shot at a turnaround. GM surged 42 cents, or 14%, to $3.41.</br></br>Overall, the Dow rose 174.75 points, or 2.25%, to 7924.56, its highest close since Feb. 12, bringing its gains to 21% from the 12-year closing low on March 9. That eclipses a 19% gain between Nov. 20 and Jan. 2 and is the first time the Dow has entered a ""technical bull market,"" a gain of 20% or more since the current bear market began in October 2007.</br></br>The broad Standard & Poor's 500-stock index rose 18.98, or 2.33%, to 832.86 and is up 23% from its closing low on March 9, rivaling its 24% gain between November and early January."
Negative,"THE BLUE CHIP ECONOMIC INDICATORS survey didn't include a forecast on the U.S. unemployment rate. An article on job uncertainty in Monday's edition incorrectly said the survey forecast that the U.S. unemployment rate would approach 7%.</br></br>(See: ""Economy: Jobs Become Scarce In Areas That Rely On Travel, Tourism"" -- WSJ Oct. 1, 2001)</br></br>---</br></br>HONEYWELL INTERNATIONAL Inc. has announced 7,600 layoffs since Sept. 11. A table accompanying a Marketplace article yesterday incorrectly put the figure at 15,800, a total which includes layoffs announced earlier in the year.</br></br>(See: ""Is It Unpatriotic to Lay Off Workers When the Nation Faces a Crisis? --- Some CEOs Say Job Cutbacks Help Keep Firms Strong; Others Say It's Wrong Signal"" -- WSJ Oct. 2, 2001)"
Positive,"WASHINGTON -- The U.S. trade deficit in goods and services narrowed sharply to $10.4 billion in February from $12.67 billion a month earlier, as soaring civilian-aircraft sales propelled exports to a record level.</br></br>The figures reflected a healthy U.S. economy. But analysts expect the gap to widen in the months ahead, with export sales slowing. February exports rose to a record $73.46 billion from $70.65 billion a month earlier. Imports rose more slowly, to less than $84 billion from $83.31 billion in January.</br></br>Early yesterday, the Commerce Department reported the February deficit at $11.59 billion but changed its numbers in the evening after rechecking the figures. It said that ""data-reporting errors at several ports of entry"" caused a $1.1 billion overcount when tallying crude-oil imports for the month. After seasonal adjustments, it added, the February deficit was recalculated at $10.4 billion.</br></br>The department said a complete revision of the figures will be released today.</br></br>Even the relatively small rise in imports prompted many economists to scale back their optimistic estimates of gross-domestic-product growth for the first quarter. Surprisingly strong reports on consumer spending and industrial production had led to ""a consensus number for the first quarter of 4.5% growth,"" said Chris Varvares, an economist with Macroeconomic Advisors in St. Louis, well above the strong 3.8% growth in the fourth quarter. The trade numbers, he said ""could knock anywhere from 0.75 to 1.25 percentage points off first-quarter GDP estimates."""
Positive,"The U.S. dollar should remain strong this week, barring a major intervention by the West German central bank, analysts said.</br></br>Despite declining interest rates, which normally make the dollar less attractive, and indicators that point to a weakening U.S. economy, the dollar rose last week against major foreign currencies. Traders ignored the Federal Reserve Board's 0.5 percentage point cut, to 8.5%, Wednesday in its discount rate, the widely watched charge for loans to financial institutions. ""The divergence between the foreign-exchange and credit markets continues,"" said Leslie Puth, assistant secretary at Irving Trust Co.</br></br>""The credit markets have been trading on immediate news, while currency markets are focusing on the federal budget deficit and its future implications,"" Ms. Puth said. She added that, though the economy in the current quarter looks weak, most currency traders expect economic growth to rebound during the first quarter of next year.</br></br>Although trading was curtailed by holidays last week, traders said there was persistent demand for dollars. ""Major corporate customers in both the U.S. and Europe, who had sold dollars earlier in the week, were buying them back up,"" said Ronald H. Holzer, assistant vice president and chief dealer for Harris Trust & Savings Bank in Chicago. ""In the face of a weakening economy, many had sold anticipating the dollar to fall.""</br></br>But the dollar continued to firm last week, withstanding even repeated interventions by the West German central bank on behalf of the mark. On Friday, the dollar stood at 3.0363 marks, up from 2.9710 marks a week earlier."
Positive,"The Federal Reserve may have to accelerate the pace of tapering to take into account the economic pickup currently ongoing in the U.S. and the improving forecast for the near future, Federal Reserve Bank of Philadelphia President Charles Plosser said.</br></br>""We must back away from increasing the degree of policy accommodation in a manner commensurate with an improving economy,"" Mr. Plosser told a panel in Paris. ""Reducing the pace of asset purchases in measured steps is moving in the right direction, but the pace may leave us well behind the curve if the economy continues to play out according to the FOMC forecasts.""</br></br>Based on the latest gross domestic product numbers, the U.S. economy accelerated its pace of expansion in the second half of 2013 from the first half. Real output showed growth of 3.3% from 1.8% in the first half.</br></br>As the economic outlook improves, the Fed announced in January its second cut to its monthly purchase program to $65 billion. At the current pace, the FOMC will end the purchase program later this year.</br></br>But Mr. Plosser noted the pace may not be fast enough."
Positive,"WASHINGTON -- The Federal Reserve raised its key short-term interest rate by a quarter of a percentage point to 1.75%, saying the U.S. economy ""appears to have regained some traction"" after ""moderating earlier this year.""</br></br>The Fed said nothing to dissuade financial markets from anticipating another quarter-point rate increase before year end.</br></br>The Fed's campaign to lift interest rates is intended not to slow the economy, but to raise rates from emergency lows in order to avoid creating an inflation problem in the future. The target on the federal-funds rate, at which banks lend to each other overnight, was chopped to a 45-year-low of 1% in mid-2003 from 6.5% at the start of 200. With much advance warning, the Fed began lifting rates in June.</br></br>The economy now appears to have pulled out of a ""soft patch"" -- as Federal Reserve Chairman Alan Greenspan has put it -- that was largely the result of higher oil prices. After substantial hesitation, employers are hiring, adding more than one million jobs since the low point in August 2003, though payrolls remain one million shy of the March 2001 peak. Following disappointing second-quarter growth of 2.8%, the U.S. economy now is expanding at better than 3.5%, perhaps as strong as 4%, private economists estimate.</br></br>But recent declines in long-term bond yields suggest the bond market may not be as optimistic. The yield on the 10-year Treasury note fell to 4.05% yesterday, well below June's 4.87%; yields fall as bond prices rise. Stocks rallied. The Dow Jones Industrial Average ended at 10244.93, up 40.04, most of that after the Fed spoke."
Positive,"THE DOW JONES INDUSTRIALS rose 54.83 points to 9041.11, their highest close since July 22, as cautious optimism followed Tuesday's interest-rate cut. The Nasdaq Composite climbed as well. Meanwhile, crude-oil futures dipped below $12 a barrel for the first time since June before recovering slightly. December crude closed at $12.14 a barrel, down 31 cents.</br></br>---</br></br>The U.S. trade deficit narrowed in September, thanks to a jump in sales of U.S.-made aircraft and autos. But economists don't expect such sales to continue, suggesting the deficit will resume its record-setting pace.</br></br>---</br></br>Consumers will pay more for PCs and see less innovation if Microsoft's Windows monopoly is unchecked, an economist hired by the government testified in the antitrust trial."
Positive,"WASHINGTON -- The U.S. economy is expanding at better than a 3% clip. The pool of workers sitting on the sidelines is evaporating. Unions finally are showing signs of life. Wage and benefit costs may be turning up. Boeing Co. can't make planes fast enough. The nation's railroads can't make timely deliveries. Business executives appear dangerously euphoric and, at least until last week, so did stock-market investors. What more will it take for Alan Greenspan to pull the interest-rate trigger?</br></br>A lot, apparently.</br></br>There is little doubt Federal Reserve officials would fall in line if Mr. Greenspan opened their Nov. 12 meeting by calling for higher rates, a step he hasn't taken since March. The published summary of the Fed's August meeting, the most recent available, is full of fretting about ""the risks of rising inflation.""</br></br>Other Fed officials caution that when things look too good to be true, they probably are. ""The economy's performance over the last year or so-the extraordinary combination of above-trend growth, exceptionally tight labor markets, but continued low inflation-has been much more favorable than I and many others expected,"" Alfred Broaddus, president of the Federal Reserve Bank of Richmond, Va., said the other day. ""Speaking strictly for myself, I am doubtful it can continue indefinitely.""</br></br>All this is irrelevant if the stock market crashes. The Fed flooded the economy with credit after the 1987 crash and surely would do so again."
Positive,"A blue-chip rally sparked by an upturn in bond prices enabled the stock market to close higher yesterday for the first time in six sessions. Trading was active.</br></br>The bond market headed up after Paul Volcker, Federal Reserve Board chairman, indicated in testimony before the Senate Banking Committee that the Fed left credit policy essentially unchanged at its July meeting. He also said that the Fed's Open Market Committee expects economic growth to moderate soon.</br></br>After sliding 36.33 points to a 17-month low in the prior five sessions, the Dow Jones Industrial Average lost another 3.75 points in yesterday's first 90 minutes; rebounding during the afternoon, the index showed a 13.47-point gain at 3 p.m. EDT, and finished at 1096.95, up 10.38 points. The utility indicator also rose, but the transportation average lost ground.</br></br>The broader market wasn't so strong as the industrial average. New York Stock Exchange gainers led losers by 789-to-739.</br></br>""The market was reacting to a better bond market, and particularly to Mr. Volcker's statement that the economic expansion is expected to moderate,"" asserted Robert Kahan, partner in charge of trading at Montgomery Securities, San Francisco. He also noted that ""a major buy program came into the market."""
Positive,"Tentative signs of life in global trade are emerging, buoying growth forecasts in the U.S. and China, two of the world's most important economies.</br></br>U.S. exports grew in May, while imports fell, helping to narrow the trade deficit to its lowest level in nearly nine years. The report prompted economists to revise up their estimates of second-quarter gross domestic product. Some even suggested the economy might have grown slightly in the second quarter.</br></br>The trade gap decreased to $26 billion in May from April's $28.8 billion, the Commerce Department said Friday. Exports rose 1.6% in May to $123.3 billion on a seasonally adjusted basis. Imports fell 0.6% to $149.3 billion.</br></br>""It's a very good sign for GDP,"" says Paul Ashworth, senior U.S. economist for Capital Economics in Toronto. ""The economy didn't shrink by much in the second quarter, and there's an outside chance it recorded a gain."" Forecasting firm Macroeconomic Advisers increased its second-quarter GDP forecast from minus 1.6% to plus 0.2% on the news.</br></br>New figures from China offered more support for the prospect that the massive drop in global trade is abating. Exports in June fell 21.4% from a year earlier, a smaller drop than May's 26% decline, China's state-run Xinhua News Agency reported Friday, citing official data."
Positive,"WASHINGTON -- Retail sales jumped a surprising 1.4% in February, the Commerce Department said.</br></br>The big increase suggests consumer spending continues to be strong in spite of signs of weakness among the nation's manufacturing industries. Manufacturing employment declined last month, and many analysts believe that February industrial-production figures, to be reported tomorrow, will also show a decline.</br></br>This combination of strong demand and weak production suggests to many analysts that foreign manufacturers are taking a rapidly growing share of the U.S. market as this country's trade deficit widens.</br></br>""Thanks to the strong dollar, imports are clearly gaining market share,"" said Edward Yardeni, chief economist for Prudential-Bache Securities Inc. A strong dollar makes imports less expensive and makes U.S. exports less competitive on world markets.</br></br>""Until recently, the demand side has been sufficiently vigorous that it has provided growth for everybody,"" Mr. Yardeni said. ""But I think we are now seeing signs that imports are starting to have a detrimental impact."" Mr. Yardeni believes that the problems facing manufacturers will eventually depress consumer demand by reducing employment and personal income."
Negative,"Suddenly, investors have the U.S. dollar to worry about again.</br></br>After weeks of blissful unconcern about an apparently stable dollar, a sharp slide in the currency yesterday unnerved many stock market investors, who sent share prices plunging. The Dow Jones Industrial Average closed at 2023.87, down 43.77, after slumping as much as 49.90 points during the day.</br></br>The dollar was quoted at 125.55 yen in late New York trading, down from 126.75 Wednesday.</br></br>Analysts differed on what caused the dollar's slide, which began in Tokyo, and how important it is in the long run.</br></br>Peter Canelo, a market strategist at Bear Stearns & Co., suggested that currency traders simply got too excited when the dollar drifted below a certain technical level against the yen in Tokyo. He contended that the dollar remains on a sound footing and that downward pressure will ease."
Positive,"NEW YORK -- The consumer sector led U.S. stocks to fresh 2<frac12>-year highs after McDonald's reported strong January sales.</br></br>The Dow Jones Industrial Average added 71.52 points, or 0.6%, to 12233.15, the highest close since June 16, 2008. It was the seventh increase in a row, the longest win streak since one that ended in July 2010.</br></br>McDonald's jumped $1.91, or 2.6%, to $75.36, after the fast-food chain said sales at stores open more than a year rose 5.3% in January from a year earlier, topping the 3.1% rise expected. It cited the diversity of its menu and the addition of oatmeal to it.</br></br>The Nasdaq Composite Index rose 13.06, or 0.5%, to 2797.05, the highest close since Nov. 6, 2007. The Standard & Poor's 500-stock index added 5.52, or 0.4%, to 1324.57, the highest close since June 19, 2008.</br></br>The consumer sector was the best-performing category in the S&P 500, with McDonald's giving a boost and Urban Outfitters also strong. Shares of the teen retailer leapt 1.95, or 5.6%, to 37.06, after Citigroup raised its stock rating to ""hold"" from ""sell,"" noting inventory and sales growth are getting more in sync."
Negative,"CHICAGO -- Bank One Corp., whose credit-card business has been hurt by rising interest rates, warned investors that first-quarter profit would likely fall shy of analysts' projections.</br></br>A First Call/Thomson Financial poll of 14 analysts showed a median estimate of 65 cents a diluted share, with a range of 62 cents to 69 cents. ""We would expect and encourage the consensus to settle at the 60-cent level,"" said Bank One's president and acting chief executive, Verne Istock.</br></br>With about 1.1 billion diluted shares outstanding, 60 cents would equal about $660 million of net income for the quarter ending March 31. A year ago, the banking concern posted net of $1.15 billion, or 88 cents a share.</br></br>The disclosure sent Bank One shares down $1.1875, or 4.5%, to $25 each in New York Stock Exchange composite trading at 4 p.m. Friday.</br></br>Mr. Istock said the first quarter would be the year's weakest. Rates that banks pay for deposits and other funds they lend have risen in recent months. But in the hotly competitive credit-card market, it is difficult to raise loan rates because many borrowers can easily jump to lower-rate cards offered through directmail solicitations."
Negative,"[Today's Market Forecast]</br></br>What's Down, Doc?</br></br>Economists keep talking about things being ""on hold."" It's increasingly looking as if they mean it in the Wile E. Coyote sense of being frozen just after he's run off the cliff.</br></br>After the huge payroll drop on Friday of 308,000 jobs, cages were rattled. The unemployment rate ticked up only a tenth of a percentage point to 5.8%, but that understates the weakness in the labor market. For more texture to how bad a jobs market it is, look at the conference board survey, the Manpower survey, the employment component of the ISM index and the four-week moving average of weekly jobless claims. All point in the same foreboding direction.</br></br>Merrill Lynch's David Rosenberg said GDP growth in the first quarter looks as if it will barely be 1% and now expects the Fed to cut rates a quarter point at both the March 18 and the May 6 meetings. To that prospect, investors will have the worrying thought: Been there, but that done squat."
Positive,"The Dow industrials vaulted past another milestone as stocks closed above 16000 for the first time, extending a record run fueled by optimism for a recovering global economy and continuing low interest rates.</br></br>The 30-stock Dow Jones Industrial Average has now set 40 all-time highs in 2013 and is up 22% for the year. The index rose 109.17 points, or 0.7%, to a new high of 16009.99 on Thursday.</br></br>The advance has been broad-based but strongest among those companies with consumer-focused businesses whose recent cost-cutting efforts are seen as giving them an edge on rivals.</br></br>Airplane manufacturer Boeing Co. is up 76% this year, and apparel company Nike Inc., which was added to the index in September, is up 51%. Only two Dow components are down this year. Caterpillar Inc. and International Business Machines Corp. have declined 8.4% and 3.9%, respectively.</br></br>Stocks' record run comes amid a steady U.S. economic recovery along with the extraordinary easy-money policies of the Federal Reserve. Many investors say the Fed's bond-buying actions are helping the economy by keeping interest rates low and making stocks look more attractive compared with bonds and other investments."
Positive,"NEW YORK -- ""On your mark. Get set. Go . . . slowly.""</br></br>The nation's hopes for a fast start aside, forecasters don't expect the U.S. economy to be off to the races this year. Although they see America breaking out of recession, most believe the pace of the recovery will be subpar.</br></br>""This will be a year of convalescence, and the debate in my view is not whether recovery is coming, it's how strong it will be,"" says Richard Berner, chief U.S. economist at Morgan Stanley Until recently, Morgan Stanley was among the more bearish firms on Wall Street regarding the economy. But yesterday, the company issued a report saying ""the recession appears to be ending.""</br></br>The consensus estimate of the 55 economists who participated in The Wall Street Journal's economic-forecasting survey calls for real gross domestic product -- the value of the nation's output, adjusted for inflation -- to rise at an annual rate of just 0.87% during the first quarter and 2.4% during the second quarter. But the forecasters see the economy picking up momentum during the second half of the year, with growth rising 3.6%.</br></br>The government won't release estimates for growth in the just-ended fourth quarter until later this month, but most economists are expecting a contraction of more than 1%."
Negative,"WASHINGTON -- Output at the nation's factories, mines and utilities fell a sharp 0.5% in June, but retail sales rose 0.2%, the government said.</br></br>The drop in industrial production, which followed a revised 0.4% decline in May and a 0.6% rise in April, was the fourth decline in the past five months and left the index 0.2% below its level a year earlier, the Federal Reserve Board said. The Fed previously reported a 0.6% decrease for May and a 0.4% gain for April.</br></br>The Commerce Department said the June increase in retail sales pushed sales to a level 4.6% above a year earlier. The department said the June increase followed upwardly revised gains of 0.7% in May and 0.9% in April.</br></br>About half of the June drop in industrial production reflected the impact of strikes on output of business equipment, construction supplies and durable materials, according to the Fed. But the board noted that a wide variety of other products also posted declines, with only autos and transit equipment showing significant gains.</br></br>Edward Yardeni, chief economist for Prudential-Bache Securities Inc. in New York, called the output figures ""anemic,"" and said that ""a very weak industrial sector is starting to drag down the overall economy."" He predicted that industrial output would remain weak as the oil price decline hurts energy-producing regions, manufacturers are battered by overseas competition and businesses hold back capital spending because of uncertainty about tax legislation."
Negative,"Everyone has his favorite household remedy. Mom is partial to chicken soup, Uncle Pete prefers a shot of Jack Daniels and over at the National Association of Manufacturers they like to prescribe a weak U.S. dollar.</br></br>With the U.S. trade deficit still large, the weak-dollar boys are back selling their elixir to Congress. Our old friend Jerry Jasinowski, head of NAM, was his typically laid-back self this week, explaining that an ""overvalued"" dollar ""is decimating U.S. manufactured-good exports, artificially stimulating imports and putting hundreds of thousands of American workers out of work."" How it managed to cause all of this mayhem while the economy was growing by some 5.8% in the first quarter must constitute a miracle. Either that, or maybe a strong greenback isn't quite the economic disaster he claims.</br></br>The U.S. had a robust currency all throughout the 1990s when times were flush. The same was true for most of the 1980s, though we recall similar moaning about the Reagan dollar. The worst recent decade for U.S. economic policy was the 1970s, when the Nixon and Carter Treasuries decided to take NAM's advice and debase the dollar. Nirvana did not arrive.</br></br>NAM's argument isn't economic policy so much as special pleading. Its members have to cope with rugged foreign competition, and they're looking for some government relief. They figure that the inefficient steelmakers got theirs -- tariffs -- so it's only fair that they now get a similar break. A dollar devaluation would be a kind of universal tariff on imports.</br></br>You'd think Mr. Jasinowski would worry about the company he's keeping here. His allies include the AFL-CIO, that free-market paragon, and in the Senate the likes of Maryland's Paul Sarbanes, who has never met a tax or regulation he didn't like. He's only too happy to flack for NAM when it gives him a chance to whack foreign imports."
Negative,"With unemployment at 9.6% and inflation below the Federal Reserve's working definition of ""price stability,"" this seems a strange moment for Congress to contemplate instructing the Fed to focus exclusively on fighting inflation.</br></br>But Sen. Bob Corker (R., Tenn.) wants to revive that notion, which has lain dormant for more than a decade because there has been so little inflation. ""I am concerned about inflation down the road,"" he explains. ""The time is right for us to bring clarity to the Fed."" In the House, Paul Ryan (R., Wis.) and Michael Pence (R., Ind.) agree. Mr. Pence argues that the Fed's quest to combat unemployment by buying $600 billion in U.S. Treasurys is a failure and threatens to ""monetize our debt and trigger inflation.""</br></br>The implication is that the Fed has lost its moorings. Has it really? For more than 30 years, Congress has charged the Fed with aiming at ""maximum employment, stable prices and moderate long-term interest rates."" That wording has long made some Fed officials and academic economists uneasy because it is rooted in a now-abandoned view that the government could dial up a little more inflation to get a little less unemployment and vice versa.</br></br>The current consensus is that the Fed can -- and, indeed, is now attempting to -- reduce unemployment in a recession, but in the long run can deliver only price stability. What Fed Chairman Ben Bernanke calls ""the longer-run sustainable unemployment rate"" is determined by demographics, job-market rules and other factors beyond the Fed's control. In this view, if the Fed tried to push unemployment too low now, it could create too much inflation later, the mistake the Fed made in the late 1970s.</br></br>But it is not the 1970s. Even though the Fed has been holding short-term interest rates near zero for nearly two years, prices rose at only a 1% annual rate in the third quarter, the Commerce Department said Tuesday. No measure of inflation expectations foresees anything like the 8%-plus inflation of the '70s. And it's hard to find a single Greenspan or Bernanke decision that would have been different if they had an inflation-only mandate. So why all this now?"
Positive,"Copper futures prices were firm again on indications of an improved economy and prospective demand for the metal.</br></br>May delivery copper rose 2.75 cents a pound to $1.06, for a two-day gain of 5.5 cents. The market ignored an increase of 684 tons in warehouse stocks of New York's Commodity Exchange to 11,529 tons.</br></br>""There's a generally more positive attitude toward the economy,"" said Bette Raptapoulos, analyst for Prudential-Bache Securities Inc., New York. ""You have the more than 20% increase in new home sales in February and the housing market is a key user of copper.""</br></br>William O'Neill, research director for Elders Futures, New York, observed that while trading lacked distinction, the premium commanded by the May futures contract over more distant months was a key indicator of the strength in the market.</br></br>""One spread that traders are closely watching is the May-December,"" he said. The premium of May over December rose 0.75 cent a pound to 15.8 cents, he said, which indicates ""concern during forthcoming months about supplies of copper to meet demand."""
Negative,"NEW YORK -- Treasurys ended lower for a third straight day as investors braced for war in Iraq.</br></br>Government securities are viewed as a safe haven at uncertain times, and Treasurys have been losing ground since Monday, when investors decided that war looked inevitable and began wagering that it would be a short one.</br></br>But analysts said the market's outlook would depend largely on initial reports on the conlict.</br></br>""I think the downside [for prices] is somewhat limited from here in the short term,"" said Tony Crescenzi, chief bond-market strategist at Miller Tabak & Co. in New York. He cautioned that much depends on the developments after troops move into Iraq. ""Yields will move up only if there are no complications on the ground,"" he said.</br></br>At 4 p.m., the benchmark 10-year note was down 18/32 point, or $5.63 per $1,000 face value, at 99 4/32. Its yield rose to 3.983% from 3.914% Tuesday, as yields move inversely to prices."
Negative,"President Obama, in speech after speech, proudly makes the following point: Although we inherited the worst recession since the Great Depression, we have generated net new jobs every month, and while we need to do more, we are going in the right direction.</br></br>Of course, recoveries always go in the right direction--that is, things get better over time. But merely going in the right direction is an incredibly low performance standard. Moreover, since deep recessions are generally followed by more robust recoveries, this should have been one of the strongest recoveries ever.</br></br>So what went wrong? All the available Keynesian levers for achieving economic growth have been pulled, yet the recovery is one of the weakest since World War II. The problem lies with the way the ""stimulus"" was carried out, the uncertainty of looming higher taxes, and the antibusiness rhetoric and regulatory strong-arming of this administration.</br></br>First, exactly how weak has this recovery been? The Federal Reserve Bank of Minneapolis tracks economic performance for each recovery and compares gross-domestic-product growth and job growth, the two most important indicators of economic performance. Over the past 60 years, there have been 11 recessions and 11 recoveries.</br></br>Sadly, this recovery is near the bottom of all 11. Cumulative nonfarm job growth is just 1.9% 34 months into recovery, the ninth-worst performance and well below the average job growth of 6.5%. Cumulative GDP growth is just 6.8% 11 quarters into this recovery, less than half the average (15.2%) and the worst of all 11."
Positive,"THE UNEMPLOYMENT rate rose to 7.1% in December, a 5 1/2-year high, from 6.9% in November, while the number of jobs barely increased. The data, which Bush called disappointing, suggest the economy is neither getting much worse nor getting any better. Democratic leaders, meanwhile, plan to propose further extensions in joblessness benefits.</br></br>Greenspan indicated the Fed intends to hold interest rates steady for a while unless the economy worsens. Last month's rate cut will probably be enough to boost the economy, he said, warning against big fiscal steps.</br></br>---</br></br>R.H. Macy told suppliers it is delaying paying them for two weeks, amid the retailer's worst cash squeeze since its 1986 buy-out. Macy's junk bonds sank as much as 20%. But Macy said it can avoid Chapter 11.</br></br>Allied Stores and Federated Department Stores won a judge's oral approval of a plan for the Campeau units to emerge from Chapter 11 as a single, publicly traded retailer."
Positive,"Job prospects are looking up for college graduates.</br></br>""The hiring picture is a lot better than it has been,"" says John Howard, who is getting his master's degree in business administration at the University of Mississippi. In August he'll become a $20,000-a-year management trainee at Deposit Guaranty National Bank in Jackson, Miss.</br></br>Many 1984 graduates are facing a choice of jobs. Allan Darr, who will get his master's in industrial administration from Carnegie-Mellon University this month, received offers from eight companies. He signed with TRW Inc. at a starting salary of $40,000.</br></br>Corporate recruiting has rebounded with the economy. A Northwestern University survey of major corporations shows that graduates are receiving 20% to 25% more job offers this year than last, when recruiting took place just as business was beginning to pick up after a deep recession. But recruiting activity hasn't returned to its pre-recession level.</br></br>""This year all 10 of our interview rooms were filled every day from Oct. 1 to May 1,"" says Christopher Shinkman, Stanford University's placement director. During the first quarter almost twice as many employers recruited at Stanford as a year ago. ""This has been as good a year as we've had,"" Mr. Shinkman says. ""And some of the best news is that not all of the increases have been on the technical side."""
Negative,"Author: Jonathan Cheng</br></br>The Dow Jones Industrial Average fell for the fourth day in five after a day of choppy trading that saw the markets dragged down by financial stocks.</br></br>The blue-chip index was able, however, to finish above the 11000 mark, helped by strong earnings by retailers.</br></br>The Dow finished down 15.62 points, or 0.14%, at 11007.88, while the Standard & Poor's 500-stock index rose 0.25 points to 1178.59 and the Nasdaq Composite gained 6.17 points to 2476.01.</br></br>Financial stocks led the declines, after The Wall Street Journal reported that the Federal Reserve will require all 19 banks that underwent stress tests during the height of the financial crisis to undergo another review of their capital and their ability to absorb losses under an ""adverse"" economic scenario."
Positive,"WASHINGTON -- President Clinton's economic advisers say the trend in U.S. productivity growth may be improving, boosting the prospects for growth in living standards in coming years.</br></br>The Economic Report of the President, released yesterday, said the growth in U.S. productivity, which is a measure of the output per hour worked, has averaged about 2% a year since 1991 -- more than twice the 1978-87 average. Some of that may reflect a rebound from the recession; but even if measured from 1987, productivity has grown 1.2%, up from 0.9% in the 10 previous years.</br></br>""There may have, indeed, been a structural change"" in productivity growth, said Laura Tyson, chairwoman of the president's Council of Economic Advisers. Such an increase could have positive implications for Americans' standards of living, which are ultimately determined by the productivity of American workers.</br></br>But the president's economic report also points out that it may be too soon to jump to conclusions about productivity growth. For one thing, the statistics can be misleading. If the trends are computed for different periods -- 1978-86 and 1986-94 -- productivity growth averages only 1.1% in the latest period, up from 1% in the earlier period, not much of a difference. Also, recently released Labor Department data on hours worked suggest that productivity could be revised downward by one-tenth of a percentage point in 1993 and 1994.</br></br>""While the evidence of a slight improvement in the productivity growth trend is encouraging, it is not yet decisive,"" the report said, adding that two more years of data may present a clearer picture."
